㤅;ai;4;ài
㤆;fan;4;fàn
㤇;ao;3;ǎo
㤈;qin;4;qìn
㤉;qia;4;qìa
㤊;xiao;4;xìao
㤍;qiao;3;qǐao
㤏;tong;2;tóng
㤑;you;4;yòu
㤓;ben;4;bèn
㤔;fu;2;fú
㤕;chu;4;chù
㤖;zhu;4;zhù
㤘;chu;4;chù
㤚;hang;2;háng
㤛;nin;2;nín
㤜;jue;2;júe
㤞;cha;4;chà
㤟;kong;3;kǒng
㤠;lie;4;lìe
㤡;li;4;lì
㤢;xu;4;xù
㤤;yu;2;yú
㤥;hai;4;hài
㤦;li;4;lì
㤧;hou;2;hóu
㤨;gong;3;gǒng
㤩;ke;4;kè
㤪;yuan;4;yùan
㤫;de;2;dé
㤬;hui;4;hùi
㤮;kuang;2;kúang
㤯;jiong;3;jǐong
㤰;zan;3;zǎn
㤱;fu;4;fù
㤲;qie;4;qìe
㤳;bei;3;běi
㤴;xi;2;xí
㤵;ci;2;cí
㤶;pang;2;páng
㤸;xi;4;xì
㤹;qiu;2;qíu
㤺;huang;3;hǔang
㤽;chou;2;chóu
㤾;san;4;sàn
㥀;de;2;dé
㥁;de;2;dé
㥂;te;4;tè
㥃;men;4;mèn
㥄;ling;2;líng
㥅;shou;4;shòu
㥆;dian;4;dìan
㥇;can;2;cán
㥈;die;2;díe
㥉;che;4;chè
㥊;peng;2;péng
㥌;ju;2;jú
㥍;ji;4;jì
㥎;lai;2;lái
㥏;tian;3;tǐan
㥐;yuan;4;yùan
㥒;cai;3;cǎi
㥓;qi;3;qǐ
㥔;yu;2;yú
㥕;lian;2;lían
㥚;yu;2;yú
㥛;ji;2;jí
㥜;wei;4;wèi
㥝;mi;3;mǐ
㥞;cui;4;cùi
㥟;xie;2;xíe
㥠;xu;3;xǔ
㥡;xi;4;xì
㥢;qiu;2;qíu
㥣;hui;4;hùi
㥥;yu;2;yú
㥦;qie;4;qìe
㥧;shun;4;shùn
㥨;chui;2;chúi
㥩;duo;3;dǔo
㥪;lou;2;lóu
㥬;pang;2;páng
㥭;tai;4;tài
㥮;zhou;4;zhòu
㥯;yin;3;yǐn
㥱;fei;3;fěi
㥲;shen;4;shèn
㥳;yuan;2;yúan
㥴;yi;2;yí
㥵;hun;4;hùn
㥶;se;4;sè
㥷;ye;4;yè
㥸;min;3;mǐn
㥹;fen;3;fěn
㥺;he;2;hé
㥼;yin;3;yǐn
㥽;ce;4;cè
㥾;ni;4;nì
㥿;ao;4;ào
㦀;feng;2;féng
㦁;lian;2;lían
㦂;chang;2;cháng
㦃;chan;3;chǎn
㦄;ma;2;má
㦅;di;4;dì
㦇;lu;4;lù
㦉;yi;4;yì
㦊;hua;2;húa
㦌;tui;4;tùi
㦍;e;4;è
㦎;hua;4;hùa
㦏;sun;3;sǔn
㦐;ni;4;nì
㦑;lian;3;lǐan
㦒;li;2;lí
㦓;xian;4;xìan
㦔;yan;4;yàn
㦕;long;2;lóng
㦖;men;4;mèn
㦗;jian;4;jìan
㦚;bian;3;bǐan
㦛;yu;2;yú
㦜;huo;4;hùo
㦝;miao;3;mǐao
㦞;chou;2;chóu
㦟;hai;4;hài
㦡;le;4;lè
㦢;jie;2;jíe
㦣;wei;4;wèi
㦤;yi;4;yì
㦥;huan;2;húan
㦦;he;4;hè
㦧;can;3;cǎn
㦨;lan;2;lán
㦩;yin;3;yǐn
